Name,Image,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Catalog,Filename,Internal ID,Unique Entry ID,category
Bea's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog10.png,1000,250,Light blue,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDog10,10632,QANup429jzLZ9RtGw,posters
Beardo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBea13.png,1000,250,Light blue,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlBea13,10788,oDTLWzHGazre6rf2d,posters
Beau's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer07.png,1000,250,Light blue,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDer07,10396,akpHWn6ftgCh2DkQn,posters
Becky's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn09.png,1000,250,Purple,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlChn09,10580,FKSnKjqAcon3Xnsbh,posters
Bella's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus02.png,1000,250,Purple,White,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus02,10681,2ZzkQFMSyPpDWBFwN,posters
Benedict's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn01.png,1000,250,Red,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlChn01,10400,LW8FbZ42R53sf8Gmr,posters
Benjamin's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog16.png,1000,250,Yellow,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDog16,10695,4gXWSoNbnL5ejGPbe,posters
Bertha's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip03.png,1000,250,Pink,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHip03,10322,NLbdnzL9z9rAsyDLi,posters
Bettina's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus15.png,1000,250,Orange,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus15,10403,SCYyGPKpf7aK3PXD7,posters
Bianca's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlTig06.png,1000,250,Light blue,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlTig06,10393,odXRHQpFx3rB3QGTQ,posters
Biff's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip04.png,1000,250,Red,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHip04,10682,qhFwx4ArLikXPrHa8,posters
Big Top's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlElp02.png,1000,250,Green,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlElp02,10426,mkPhKXgL5CiHPjWRt,posters
Bill's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDuk00.png,1000,250,Brown,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDuk00,10653,sYPGCn8NjP6R9byDv,posters
Billy's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGoa02.png,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlGoa02,10620,NGA6CZqcPu5H3NXbn,posters
Biskit's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog03.png,1000,250,Orange,Purple,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDog03,10496,RsGh3NwxT4szECdgL,posters
Bitty's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip05.png,1000,250,Pink,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHip05,10622,cAuB9k5uSv46zLv9t,posters
Blaire's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu01.png,1000,250,Black,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlSqu01,10369,dZZxMyzvStPjj2snD,posters
Blanca's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpMka.png,1000,250,White,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",1.0.0,For sale,PosterNpcSpMka,10343,HGSmXooFFtwAMcxHX,posters
Blanche's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlOst08.png,1000,250,White,Pink,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlOst08,10478,R6Rw4ctwjDY9e28et,posters
Blathers's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpOwl.png,1000,250,Brown,Beige,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcSpOwl,10324,gaPCze5wML6Qug2jZ,posters
Bluebear's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCbr00.png,1000,250,Light blue,Purple,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCbr00,10652,3xyh2F9XMHniXeMPj,posters
Bob's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCat00.png,1000,250,Purple,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCat00,10797,z2W6hsJ38PNXr5JBS,posters
Bonbon's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt17.png,1000,250,Brown,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlRbt17,10666,9bjNfEmfXHogQLLy9,posters
Bones's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog04.png,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDog04,10548,gCMMRqr89tRzSDsfi,posters
Booker's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpDgb.png,1000,250,Orange,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",1.0.0,For sale,PosterNpcSpDgb,10336,iLRZ2sLsR5JpnstFW,posters
Boomer's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPgn10.png,1000,250,Black,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPgn10,10506,AaTWfB3HwMLdb66oj,posters
Boone's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor02.png,1000,250,Brown,White,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlGor02,10534,x73G2vr9yLgmGFkAz,posters
Boots's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd02.png,1000,250,Green,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCrd02,10634,sx9Msn3pFgbL797cq,posters
Boris's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPig09.png,1000,250,Blue,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPig09,10613,jWhj4NpRxCTr6448J,posters
Boyd's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor05.png,1000,250,Red,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlGor05,10621,ZLgQCoaTBm2ampuyF,posters
Bree's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus03.png,1000,250,Green,Pink,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus03,10486,hwiRhRj9ns5DYLxh4,posters
Brewster's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpPge.png,1000,250,Green,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",1.0.0,For sale,PosterNpcSpPge,10516,MvWLaRvLhvzFLL33M,posters
Broccolo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus12.png,1000,250,Light blue,Colorful,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus12,10378,jtgSXuiFeXrhqcndu,posters
Broffina's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn12.png,1000,250,Orange,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlChn12,10535,CPcRxGMpcoM7eJDED,posters
Bruce's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer03.png,1000,250,Gray,Orange,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDer03,10594,Avb77qhMp3B6QgAXm,posters
Bubbles's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip02.png,1000,250,Orange,Purple,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHip02,10447,pbKEfdRSQB6aLq8KK,posters
Buck's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHrs00.png,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHrs00,10485,j2RuomkgYQHRXvyMr,posters
Bud's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlLon00.png,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlLon00,10398,CLSFvYYxsYPxWZ46r,posters
Bunnie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt00.png,1000,250,Red,Beige,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlRbt00,10316,SLfwmbskgPWmkKZyz,posters
Butch's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog01.png,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlDog01,10385,MeC9zFBwnNcMr6aaA,posters
Buzz's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr03.png,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPbr03,10648,ooxssY2sNRY35R7Tj,posters
Cally's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu11.png,1000,250,Beige,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlSqu11,10600,9C75xv9doaZLWpnKt,posters
Camofrog's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlFlg03.png,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlFlg03,10412,BB9Jwomm4GExvnoTE,posters
Canberra's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKal08.png,1000,250,Orange,Light blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlKal08,10451,E9tQeMSWQKoNgSxvo,posters
Candi's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus08.png,1000,250,Pink,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus08,10637,YgLmQYuHf259anCYZ,posters
Carmen's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt16.png,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlRbt16,10374,RFRW8GSsCgM66CgLP,posters
Caroline's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu06.png,1000,250,Red,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlSqu06,10507,wkEbaPiiNzejEB4zE,posters
Carrie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKgr02.png,1000,250,Orange,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlKgr02,10615,zgkHz6cjBecbyqG3F,posters
Cashmere's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlShp04.png,1000,250,White,Purple,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlShp04,10640,8GcwQ4DCdGddLw7mr,posters
Celeste's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpOws.png,1000,250,Brown,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcSpOws,10334,QiRLGPEKXAy9CnsnD,posters
Celia's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr09.png,1000,250,White,Green,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPbr09,10568,dt9NAEkoWCwzwPEdc,posters
Cesar's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor00.png,1000,250,Beige,Orange,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlGor00,10373,e4KkHQ82KgXQTCABf,posters
Chadder's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus18.png,1000,250,Yellow,Blue,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus18,10501,EASeGQP4RzhCSeruR,posters
Charlise's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBea12.png,1000,250,Green,Red,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlBea12,10778,Y84YAXuwcwTW6E58c,posters
