Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,category
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_2_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_3_0.png,Blue,NA,NA,NA,No,No,No,NA,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_4_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_5_0.png,Ivory,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_6_0.png,Light blue,NA,NA,NA,No,No,No,NA,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C,miscellaneous
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_7_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g,miscellaneous
anchovy model,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishAntyobiToy,NA,6999,jqs5hyDDgiozw7D6W,miscellaneous
angelfish model,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfishToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishAngelfishToy,NA,6933,c68YashL9kXvfwLp4,miscellaneous
ant farm,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriFarm.png,NA,NA,NA,NA,No,No,No,NA,1400,350,Green,Brown,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,child's room,None,None,No,Special Insect,Does not play music,No lighting,For sale,FtrInsectAriFarm,NA,11866,nuqhnEuJinwzRrp2z,miscellaneous
ant model,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,240,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectAriToy,NA,7053,pvyXsn72duZvP5csK,miscellaneous
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_0_0,0_0,3949,BfZjDAavNeyem3bFX,miscellaneous
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_1_0.png,Brown,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_1_0,1_0,3949,8r8yH5cDR9D94dWE2,miscellaneous
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_2_0.png,Light blue,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_2_0,2_0,3949,9WXR8N8LWcLgcbuTq,miscellaneous
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,990,247,Pink,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_3_0,3_0,3949,eRvZ8pBJ2gMbQXTTC,miscellaneous
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_4_0.png,Black,NA,NA,NA,No,No,No,NA,990,247,White,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_4_0,4_0,3949,X5WqEpcbqAunjxS4f,miscellaneous
arapaima model,https://acnhcdn.com/latest/FtrIcon/FtrFishPirarukuToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Black,Black,2x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishPirarukuToy,NA,7006,mYrf2qXTygc8GphQC,miscellaneous
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_0_0.png,White,Variation,NA,NA,Yes,Yes,No,1,NFS,600,White,Light blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_0_0,0_0,1753,6AqmYqJXkqoYTfJej,miscellaneous
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_1_0.png,Brown,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Brown,Orange,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_1_0,1_0,1753,kv6phyzaTZRerstP4,miscellaneous
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_2_0.png,Green,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Green,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_2_0,2_0,1753,QQLoouuttf58T3ufJ,miscellaneous
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_3_0.png,Pink,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Pink,Pink,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_3_0,3_0,1753,tLn4NcyuPmuHXgKn8,miscellaneous
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_4_0.png,Cream,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_4_0,4_0,1753,5RFavNA2iBfAcQCK4,miscellaneous
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_5_0.png,Black,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Black,Blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_5_0,5_0,1753,YZgdtQSYDiw8TTXzJ,miscellaneous
arowana model,https://acnhcdn.com/latest/FtrIcon/FtrFishArowanaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishArowanaToy,NA,6935,SeSQEP9r8f4ZH3ZgP,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_0.png,Cream,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_0,0_0,1501,g2XmJfB8pFYwRq9F6,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_1.png,Cream,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_1,0_1,1501,SSKzzn4PKuGQwr2pL,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_2.png,Cream,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_2,0_2,1501,36HzWPnuJQGP8dQ3J,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_3.png,Cream,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_3,0_3,1501,ejuF7sTa4N64k8AD9,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_0.png,Caramel mocha,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_0,1_0,1501,pkRq4pGLsBgZJs6Zz,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_1.png,Caramel mocha,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_1,1_1,1501,vXLCKkgzYCK7KQjgp,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_2.png,Caramel mocha,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_2,1_2,1501,GvyMQSw6Y7dAssqLE,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_3.png,Caramel mocha,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_3,1_3,1501,B85z59MD8h7M9Ctrk,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_0.png,Choco,NA,None,Shirt,No,No,Yes,1,1800,450,Brown,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_0,2_0,1501,2T9YQNT5fZytrqrwK,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_1.png,Choco,NA,Heart,Shirt,No,No,Yes,1,1800,450,Brown,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_1,2_1,1501,CD9XqwhPSre2zzNjX,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_2.png,Choco,NA,Fish,Shirt,No,No,Yes,1,1800,450,Brown,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_2,2_2,1501,ZKQ8SQtNRXhQ63ANr,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_3.png,Choco,NA,Star,Shirt,No,No,Yes,1,1800,450,Brown,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_3,2_3,1501,muwwSKJHXGAeCmPEb,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_0.png,Floral,NA,None,Shirt,No,No,Yes,1,1800,450,Blue,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_0,3_0,1501,iC6uke9rdu6nFFZ9G,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_1.png,Floral,NA,Heart,Shirt,No,No,Yes,1,1800,450,Blue,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_1,3_1,1501,JgZfkc4k6nyjwjv9Q,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_2.png,Floral,NA,Fish,Shirt,No,No,Yes,1,1800,450,Blue,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_2,3_2,1501,hycjnzbvHSdCXcCSJ,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_3.png,Floral,NA,Star,Shirt,No,No,Yes,1,1800,450,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_3,3_3,1501,mjwTqXDWN6TXNtLoR,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_0.png,Checkered,NA,None,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_0,4_0,1501,QJqqQh5tQR59LFLXP,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_1.png,Checkered,NA,Heart,Shirt,No,No,Yes,1,1800,450,Yellow,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_1,4_1,1501,qBvYFruEFNxRRm4qF,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_2.png,Checkered,NA,Fish,Shirt,No,No,Yes,1,1800,450,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_2,4_2,1501,pfbzHggDW8rLZyySF,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_3.png,Checkered,NA,Star,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_3,4_3,1501,5uqwwqA6dMAhQFpmm,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_0.png,Tweed,NA,None,Shirt,No,No,Yes,1,1800,450,Colorful,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_0,5_0,1501,nPchvcMPNmZ7eDKJJ,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_1.png,Tweed,NA,Heart,Shirt,No,No,Yes,1,1800,450,Colorful,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_1,5_1,1501,mgSKedtr9Lk4NTaWL,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_2.png,Tweed,NA,Fish,Shirt,No,No,Yes,1,1800,450,Colorful,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_2,5_2,1501,goji34uBiXDRhjkSv,miscellaneous
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_3.png,Tweed,NA,Star,Shirt,No,No,Yes,1,1800,450,Colorful,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_3,5_3,1501,qjt78GA8vEf5xDW5W,miscellaneous
Baby panda,https://acnhcdn.com/latest/FtrIcon/FtrPandaS.png,NA,NA,NA,NA,No,No,No,NA,1800,450,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,panda,No,Animal,Does not play music,No lighting,For sale,FtrPandaS,NA,9698,TrjKcMrQXJf7NCbta,miscellaneous
bagworm model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMinomushiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,1800,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectMinomushiToy,NA,7082,xPShFD4zcZx389xxz,miscellaneous
ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_0_0.png,Basketball,NA,NA,NA,No,No,No,NA,520,130,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale,FtrBall_Remake_0_0,0_0,2010,kWNLESb9BwdejFzCw,miscellaneous
