Name,Image,DIY,Buy,Sell,Source,Source Notes,Tag,Version,Filename,Internal ID,Unique Entry ID,category
bridge marker kit,https://acnhcdn.com/acdb/other/TentWhite.png,,NFS,NA,Tom Nook,,NA,1.0.0,BridgeReserveKit,4310,nS86mCT42JirpqqPY,other
brown wrapping paper,https://acnhcdn.com/acdb/other/WPaperBrown.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperBrown,7696,hJhmHZLzeNSDBEoSo,other
campsite construction kit,https://acnhcdn.com/acdb/other/TentWhite.png,,NFS,NA,Tom Nook,,NA,1.0.0,CampsiteReserveKit,5166,ezCup9En25XEqADNt,other
campsite moving kit,https://acnhcdn.com/acdb/other/TentWhite.png,,NFS,NA,Tom Nook,,NA,1.0.0,MovingKitCampsite,6841,ZXGmQ8gab2KnTmP5a,other
Cancer fragment,https://acnhcdn.com/acdb/other/StarpieceCancer.png,,NFS,500,Wishing on shooting stars (June 21 - July 22),,NA,1.0.0,StarpieceCancer,5991,SmqC4auAEN7GSNraA,other
Capricorn fragment,https://acnhcdn.com/acdb/other/StarpieceCapricornus.png,,NFS,500,Wishing on shooting stars (Dec 22 - Jan 19),,NA,1.0.0,StarpieceCapricornus,5985,Yv5hZXu5AkG7sWNQ6,other
cedar sapling,https://acnhcdn.com/acdb/other/SeedCedar.png,,640,160,Nook's Cranny,,Plants,1.0.0,SeedCedar,2800,LP6TnsveSD3AGAMmQ,other
cedar tree,https://acnhcdn.com/acdb/other/PltConifer.png,,NFS,240,Planting a cedar start,,Plants,1.0.0,PltCedar4,2805,scFwAJ9XXGD3G6NbX,other
chartreuse wrapping paper,https://acnhcdn.com/acdb/other/WPaperLightGreen.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperLightGreen,7686,RWcJQMBA79cybhZDM,other
cherry,https://acnhcdn.com/acdb/other/Cherry.png,,400,500,Cherry tree,,NA,1.0.0,Cherry,2287,vAujDBhEiEHX39WDn,other
cherry tree,https://acnhcdn.com/acdb/other/PltCherry.png,,NFS,300,Planting a cherry,,Plants,1.0.0,PltCherry4,3381,GhjdFWs3sFftbtd2W,other
cherry-blossom petal,https://acnhcdn.com/acdb/other/Sakurapetal.png,,NFS,NA,Catching with a net (Cherry-Blossom Season),,NA,1.0.0,Sakurapetal,5859,7hYtxcDFLTySLx8Nz,other
clay,https://acnhcdn.com/acdb/other/DIYClay.png,,NFS,100,Hitting a rock,,NA,1.0.0,DIYClay,3090,3yoCRN4WNjdYKQEJB,other
clump of weeds,https://acnhcdn.com/acdb/other/PltWeed.png,,NFS,10,On ground,,Plants,1.0.0,PltWeed,2624,GEtNwS4vwNF7oBvw9,other
coconut,https://acnhcdn.com/acdb/other/Coconut.png,,NFS,250,Coconut tree,,NA,1.0.0,Coconut,2288,eHNoTML3CsNoaHoZ9,other
coconut tree,https://acnhcdn.com/acdb/other/PltPalm.png,,NFS,500,Planting a coconut,,Plants,1.0.0,PltPalm4,2810,c4FSMaXCEqboxnQzT,other
coin,https://acnhcdn.com/acdb/other/PhotoStudioBell.png,,NFS,0,Shaking a tree,,NA,1.0.0,PhotoStudioBell,7730,jNjH659eycYXADzaq,other
communicator part,https://acnhcdn.com/acdb/other/JohnyParts.png,,NFS,20,Clam dig spot while on a quest for Gulliver,,NA,1.0.0,JohnnyQuest1,2381,XiM7GBuMGY9HReqm2,other
conch,https://acnhcdn.com/acdb/other/ShellDriftHora.png,,NFS,700,Beach,,NA,1.0.0,ShellDriftHora,1376,rtDktiz93Crc46m5c,other
coral,https://acnhcdn.com/acdb/other/ShellDriftSango.png,,NFS,500,Beach,,NA,1.0.0,ShellDriftSango,1380,4CHLh45qehAS8wHpb,other
cowrie,https://acnhcdn.com/acdb/other/ShellDriftTakara.png,,NFS,60,Beach,,NA,1.0.0,ShellDriftTakara,1382,zxAax3FMiJMX9Chet,other
customization kit,https://acnhcdn.com/acdb/other/RemakeKit.png,,600,150,Nook's Cranny,,Supplies,1.0.0,RemakeKit,2513,Ld3gGWdjsFZscs6Qq,other
delivery,https://acnhcdn.com/acdb/other/Cardboard.png,,NFS,222,Delivering item for a villager,,NA,1.0.0,DummyCardboard,4645,dSEW4GQniyS8P6SnE,other
delivery box,https://acnhcdn.com/acdb/other/Present2.png,,NFS,NA,Nook Shopping,,NA,1.0.0,QuestWrappingBox,4245,KGs8SGuNQXerMe7xC,other
DIY for Beginners,https://acnhcdn.com/acdb/other/DIYbook1.png,,480,NA,Nook's Cranny,,NA,1.0.0,DIYbook1,5603,Xg3ZJkcs2GKKj629h,other
earth egg,https://acnhcdn.com/acdb/other/EggGround.png,,NFS,200,Dig spot (Bunny Day),,NA,1.1.0a,EggGround,12509,GfuzxkKwqvLMLq4TJ,other
egg message bottle,https://acnhcdn.com/acdb/other/MessageBottleEgg.png,,NFS,NA,Beach (Bunny Day),,NA,1.1.0a,MessageBottleEgg,12544,AQictTWfneH93yYQM,other
elegant mushroom,https://acnhcdn.com/acdb/other/MushSplendid.png,,NFS,10000,On ground (Mushroom Season),,NA,1.0.0,MushSplendid,3276,kHtGRmaZmf3foEhwz,other
empty can,https://acnhcdn.com/acdb/other/TrashCan.png,,NFS,10,Fishing,Small shadow,NA,1.0.0,TrashCan,3466,rqiTcqwQexTmYoPTH,other
fish bait,https://acnhcdn.com/acdb/other/FishBait.png,,NFS,200,Crafting ,,NA,1.0.0,FishBait,4549,Ghm4XtGMDXTpyFQSj,other
flat mushroom,https://acnhcdn.com/acdb/other/MushFlat.png,,NFS,200,On ground (Mushroom Season),,NA,1.0.0,MushFlat,3279,Ym7BRDNMQF6nZL446,other
Flimsy Axe Recipe,https://acnhcdn.com/acdb/other/DIYRecipeAxeWood.png,,280,200,Nook's Cranny,Available after unlocking the axe in the story,NA,1.0.0,DIYRecipeAxeWood,12294,DYjGLCCvPYc3NzzX3,other
Flimsy Shovel Recipe,https://acnhcdn.com/acdb/other/DIYRecipeScoopWood.png,,280,200,Nook's Cranny,Available after unlocking the shovel in the story,NA,1.0.0,DIYRecipeScoopWood,9047,7CuuTR93dTcBLgbgA,other
Flimsy Watering Can Recipe,https://acnhcdn.com/acdb/other/DIYRecipeWateringWood.png,,280,200,Nook's Cranny,,NA,1.0.0,DIYRecipeWateringWood,9048,MWx23wyys6QbgTwFt,other
fossil,https://acnhcdn.com/acdb/other/Fossil.png,,NFS,100,Dig spot,,NA,1.0.0,Fossil,2579,ZwqydviSR4WiRWdDA,other
Gemini fragment,https://acnhcdn.com/acdb/other/StarpieceGemini.png,,NFS,500,Wishing on shooting stars (May 21 - June 20),,NA,1.0.0,StarpieceGemini,5990,FKd48SRH79uQKweuZ,other
giant clam,https://acnhcdn.com/acdb/other/ShellDriftSyako.png,,NFS,900,Beach,,NA,1.0.0,ShellDriftSyako,1381,yzrzGTGG6mdN2N4d4,other
gold nugget,https://acnhcdn.com/acdb/other/DIYGold.png,,NFS,10000,Hitting a rock,,NA,1.0.0,DIYGold,2505,i7QscMET7RcTdffLC,other
gold ornament,https://acnhcdn.com/acdb/other/DIYOrnamentGold.png,,NFS,50,Shaking a cedar tree (Festive Season),,NA,1.0.0,DIYOrnamentGold,5732,PDc3gmJTvyra4nNb6,other
gold roses,https://acnhcdn.com/acdb/other/FlwRoseGold.png,,NFS,1000,Picking flowers,,Plants,1.0.0,FlwRoseGold,2963,6B9RaLkgxyFA72rdm,other
gold wrapping paper,https://acnhcdn.com/acdb/other/WPaperGold.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperGold,7695,nKFEifDX73E7y86s3,other
gold-rose plant,https://acnhcdn.com/acdb/other/PltGoldenRose.png,,NFS,1000,"Black/black roses
Water with gold watering can",,Plants,1.0.0,PltRoseGold3,3878,vgqcsR2h6B96skooq,other
gray wrapping paper,https://acnhcdn.com/acdb/other/WPaperGray.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperGray,7697,yiydxSjmgGZiNBxsm,other
green mums,https://acnhcdn.com/acdb/other/FlwMumGreen.png,,NFS,240,Picking flowers,,Plants,1.0.0,FlwMumGreen,5175,iZDGXg9rxMCXkkRXQ,other
green wrapping paper,https://acnhcdn.com/acdb/other/WPaperGreen.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperGreen,7687,3mskzQhZ5uWSBJ373,other
green-mum plant,https://acnhcdn.com/acdb/other/PltMum4.png,,NFS,240,Purple/purple mums,,Plants,1.0.0,PltMumGreen3,3934,ejT89srWvyFe6eQKf,other
hardwood,https://acnhcdn.com/acdb/other/DIYWoodHard.png,,NFS,60,Chopping a tree,,NA,1.0.0,DIYWoodHard,2769,ni3n8DjyCZ9cghTD2,other
hardwood tree,https://acnhcdn.com/acdb/other/PltOak.png,,NFS,240,Planting a sapling,,Plants,1.0.0,PltOak4,2799,iGMxqfQ39pMGzJrji,other
heart crystal,https://acnhcdn.com/latest/MenuIcon/Love.png,No,400,100,,,NA,1.2.0,Love,12546,Seo4ym9pKPhr7A6yb,other
orange tree,https://acnhcdn.com/acdb/other/PltOrange.png,,NFS,300,Planting an orange,,Plants,1.0.0,PltOrange4,3365,RjcKphnD5xgCxeMFM,other
holly bush,https://acnhcdn.com/latest/MenuIcon/PltHolly.png,No,560,140,,,NA,1.2.0,PltHolly2,3027,iS4C5XqHay6jggFoL,other
holly nursery,https://acnhcdn.com/latest/MenuIcon/PltHolly.png,No,280,70,,,NA,1.2.0,PltHolly0,12757,vyJTecdJnm8PS8zh6,other
holly start,https://acnhcdn.com/latest/ShopPlant/SeedHolly.png,No,280,70,,,NA,1.2.0,SeedHolly,3024,ikDCfcT8TcvyPNH8Y,other
housing kit,https://acnhcdn.com/acdb/other/NnpcNewHousingkit.png,,NFS,NA,Tom Nook,,NA,1.0.0,NnpcNewHousingkit,3349,3H4M8fad4hXPPK9tq,other
incline marker kit,https://acnhcdn.com/acdb/other/SlopeReserveKit.png,,NFS,NA,Tom Nook,,NA,1.0.0,SlopeReserveKit,4311,Nmp2P7XPoEWX2tQG6,other
iron nugget,https://acnhcdn.com/acdb/other/DIYIron.png,,NFS,375,Hitting a rock,,NA,1.0.0,DIYIron,2511,smkrptPsq6cK6e7ya,other
Ladder Recipe,https://acnhcdn.com/acdb/other/DIYRecipeLadder.png,,500,200,Nook's Cranny,Available after unlocking the ladder in the story,NA,1.0.0,DIYRecipeLadder,12327,DoaZp6Qmt2kgJm5RR,other
large snowflake,https://acnhcdn.com/acdb/other/SnowCrystalLarge.png,,NFS,NA,Perfect Snowboy,,NA,1.0.0,SnowCrystalLarge,3540,roPJbuZmNfYv9k3Q5,other
large star fragment,https://acnhcdn.com/acdb/other/StarpieceRare.png,,NFS,2500,Wishing on shooting stars,,NA,1.0.0,StarpieceRare,5984,FA6nhbrBzK7ESdoDL,other
leaf egg,https://acnhcdn.com/acdb/other/EggLeaf.png,,NFS,200,Shaking a hardwood tree (Bunny Day),,NA,1.1.0a,EggLeaf,12511,3rZgwsLcirdRrMrND,other
Leo fragment,https://acnhcdn.com/acdb/other/StarpieceLeo.png,,NFS,500,Wishing on shooting stars (July 23 - August 22),,NA,1.0.0,StarpieceLeo,5992,kxQAgnSXcGbYHtNLB,other
Libra fragment,https://acnhcdn.com/acdb/other/StarpieceLibra.png,,NFS,500,Wishing on shooting stars (September 23 - October 22),,NA,1.0.0,StarpieceLibra,5994,SRpunGqz97ZSyQeKq,other
light-blue wrapping paper,https://acnhcdn.com/acdb/other/WPaperLightBlue.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperLightBlue,7689,k6ZfmjnoDpGqHWweS,other
lily-of-the-valley plant,https://acnhcdn.com/acdb/other/PltSuzuran.png,,NFS,222,5-star town status,,Plants,1.0.0,PltSuzuran2,7651,LXttqtLN2HF8PhQbu,other
lost item,https://acnhcdn.com/acdb/other/LostQuestBagDust.png,,NFS,NA,On ground,,NA,1.0.0,LostQuestBag,2374,uncR4zC9xppuSkiij,other
lost item,https://acnhcdn.com/acdb/other/LostQuestBookDust.png,,NFS,NA,On ground,,NA,1.0.0,LostQuestBook,2375,ymD8pZhYvP99PRiYr,other
lost item,https://acnhcdn.com/acdb/other/LostQuestNoteDust.png,,NFS,NA,On ground,,NA,1.0.0,LostQuestNote,5426,Fd7AxQwkCjc5RmfRW,other
manila clam,https://acnhcdn.com/acdb/other/FtrShellFishAsari.png,,NFS,100,Clam dig spot,,NA,1.0.0,FtrShellFishAsari,2567,JFoiWRD9rYYRQchWY,other
maple leaf,https://acnhcdn.com/acdb/other/AutumnLeaf.png,,NFS,NA,Catching with a net (Fall),,NA,1.0.0,AutumnLeaf,7374,iNPeEEqdSxkjKFPDS,other
medicine,https://acnhcdn.com/acdb/other/ItemMedicine.png,,400,100,Nook's Cranny,,Hospital,1.0.0,ItemMedicine,2777,3pirDraBT9LTcGCDc,other
message bottle,https://acnhcdn.com/acdb/other/BottleRecipe.png,,NFS,NA,Beach,,NA,1.0.0,MessageBottle,5793,euJRD9W3hqTR3YeGC,other
mint wrapping paper,https://acnhcdn.com/acdb/other/WPaperMint.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperMint,7688,J7HrFYe8eAajkNBPk,other
money tree,https://acnhcdn.com/acdb/other/PltMoney.png,,NFS,240,Burying bells in a glowing spot,,Plants,1.0.0,PltMoney4,4426,ePzXeAjEBZXBhxuAF,other
moving kit,https://acnhcdn.com/acdb/other/MovingKitPlayer.png,,NFS,NA,Tom Nook,,NA,1.0.0,MovingKitPlayer,5358,MyYYwJYdNvcGSEoFZ,other
museum moving kit,https://acnhcdn.com/acdb/other/MovingKitMuseum.png,,NFS,NA,Tom Nook,,NA,1.0.0,MovingKitMuseum,5361,nrLWMtL3jGmWYDAQM,other
navy wrapping paper,https://acnhcdn.com/acdb/other/WPaperNavy.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperNavy,7691,Ms5AhyNbJL5DuZrh2,other
old tire,https://acnhcdn.com/acdb/other/TrashTire.png,,NFS,10,Fishing,Large shadow,NA,1.0.0,TrashTire,3470,3S8juGp87QfHvtpyq,other
orange,https://acnhcdn.com/acdb/other/Orange.png,,400,500,Orange tree,,NA,1.0.0,Orange,2214,T54w2hgHB3Edytw3f,other
orange cosmos,https://acnhcdn.com/acdb/other/FlwCosmosOrange.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwCosmosOrange,2871,Hvp5sHy7uPHnH2Qda,other
orange hyacinths,https://acnhcdn.com/acdb/other/FlwHyacinthOrange.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwHyacinthOrange,3741,H7pirF6ynSFrpgLMN,other
orange lilies,https://acnhcdn.com/acdb/other/FlwYuriOrange.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwYuriOrange,2995,Y8kaixfp7SEvzCDCd,other
orange pansies,https://acnhcdn.com/acdb/other/FlwPansyRedYellow.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwPansyRedYellow,2919,atQLxZD4CSqYsaNkM,other
orange roses,https://acnhcdn.com/acdb/other/FlwRoseOrange.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwRoseOrange,2947,MsnwoMvrqgeH2ZrG6,other
orange windflowers,https://acnhcdn.com/acdb/other/FlwAnemonesOrange.png,,NFS,40,Picking flowers,,Plants,1.0.0,FlwAnemonesOrange,3713,dCQyoCdY9JFYxHXbR,other
orange wrapping paper,https://acnhcdn.com/acdb/other/WPaperOrange.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperOrange,7685,brMQqHjgqsMz5kdtb,other
orange-cosmos plant,https://acnhcdn.com/acdb/other/PltCosmosOrange3.png,,NFS,80,Red/yellow cosmos,,Plants,1.0.0,PltCosmosOrange3,3832,ZMn3hzNpMRg9vkW7E,other
orange-hyacinth plant,https://acnhcdn.com/acdb/other/PltHyacinthOrange3.png,,NFS,80,Red/yellow hyacinths,,Plants,1.0.0,PltHyacinthOrange3,3916,Qm6vasEvBMXEaWDgF,other
orange-lily plant,https://acnhcdn.com/acdb/other/PltYuriOrange3.png,,NFS,80,Red/yellow lilies,,Plants,1.0.0,PltYuriOrange3,3894,b2dp3BnCjLEQTcyHt,other
orange-pansy plant,https://acnhcdn.com/acdb/other/PltPansyRedYellow3.png,,NFS,80,Red/yellow pansies,,Plants,1.0.0,PltPansyRedYellow3,3856,NN4tLZwnXJA7nsQJF,other
orange-rose plant,https://acnhcdn.com/acdb/other/PltRoseOrange3.png,,NFS,80,Red/yellow roses,,Plants,1.0.0,PltRoseOrange3,3870,WN72HFoZ3fyhwQ5NG,other
orange-tea-olive bush,https://acnhcdn.com/latest/MenuIcon/PltBushOsmathusOrange.png,No,560,140,,,NA,1.2.0,PltBushOsmathusOrange2,12482,ijnrJoK6XMityJZDM,other
orange-tea-olive nursery,https://acnhcdn.com/latest/MenuIcon/PltBushOsmathusOrange.png,No,280,70,,,NA,1.2.0,PltBushOsmathusOrange0,12754,YiNQSEMBSiYzc45YQ,other
orange-tea-olive start,https://acnhcdn.com/latest/ShopPlant/SeedBushOsmathusOrange.png,No,280,70,,,NA,1.2.0,SeedBushOsmathusOrange,12480,QRyD9Q4f7vzqQdeCs,other
orange-tulip plant,https://acnhcdn.com/acdb/other/PltTulipOrange3.png,,NFS,80,Red/yellow tulips,,Plants,1.0.0,PltTulipOrange3,3844,iYi6dRqA3vA8fb4oZ,other
orange-windflower bag,https://acnhcdn.com/acdb/other/SeedAnemonesOrange.png,,240,60,Nook's Cranny,,Plants,1.0.0,SeedAnemonesOrange,3714,HuPd5NbyLkkFvigEo,other
orange-windflower plant,https://acnhcdn.com/acdb/other/PltAnemonesOrange3.png,,NFS,40,Seed bag,,Plants,1.0.0,PltAnemonesOrange3,3900,E9PAkZEzQ3HaJiRqy,other
peach,https://acnhcdn.com/acdb/other/Peach.png,,400,500,Peach tree,,NA,1.0.0,Peach,2286,qjF3dwhQy3e2LiWtr,other
peach tree,https://acnhcdn.com/acdb/other/PltPeach4.png,,NFS,300,Planting a peach,,Plants,1.0.0,PltPeach4,3375,jr4TgJyTJyZ933o6T,other
pear,https://acnhcdn.com/acdb/other/Pear.png,,400,500,Pear tree,,NA,1.0.0,Pear,2285,pnTL7PHd4rtyzkanu,other
pear tree,https://acnhcdn.com/acdb/other/PltPear4.png,,NFS,300,Planting a pear,,Plants,1.0.0,PltPear4,3370,7kQWGcj7EmNqj8KiL,other
pine cone,https://acnhcdn.com/acdb/other/DIYPinecone.png,,NFS,200,Shaking a cedar tree (Fall),,NA,1.0.0,DIYPinecone,5728,pKvkjhsyir2FimNts,other
pink cosmos,https://acnhcdn.com/acdb/other/FlwCosmosPink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwCosmosPink,2867,898Ts8bbEr7iNZzGG,other
pink hyacinths,https://acnhcdn.com/acdb/other/FlwHyacinthPink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwHyacinthPink,3738,wNbmG4DKhkErfibGX,other
pink lilies,https://acnhcdn.com/acdb/other/FlwYuriPink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwYuriPink,2991,kiCkkhX3PNkfauJXo,other
pink mums,https://acnhcdn.com/acdb/other/FlwMumPink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwMumPink,3765,xNhBxScQvumKJeYDz,other
pink roses,https://acnhcdn.com/acdb/other/FlwRosePink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwRosePink,2943,Y3XgoGJjbP4FARKP8,other
pink tulips,https://acnhcdn.com/acdb/other/FlwTulipPink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwTulipPink,2891,xsXifs2QAihKWQneZ,other
pink windflowers,https://acnhcdn.com/acdb/other/FlwAnemonesPink.png,,NFS,80,Picking flowers,,Plants,1.0.0,FlwAnemonesPink,3720,ap2QtwXRXd3rCw99D,other
pink wrapping paper,https://acnhcdn.com/acdb/other/WPaperPink.png,,160,40,Nook's Cranny,,NA,1.0.0,WPaperPink,7684,nRfsjMz6ctyb5gpGt,other
pink-azalea bush,https://acnhcdn.com/latest/MenuIcon/PltAzaleaPink.png,No,560,140,,,NA,1.2.0,PltAzaleaPink2,3788,jy3SJweiZ5ketX4zg,other
pink-azalea nursery,https://acnhcdn.com/latest/MenuIcon/PltAzaleaPink.png,No,280,70,,,NA,1.2.0,PltAzaleaPink0,12748,Ez7WK3mA2WD5CeyHb,other
pink-azalea start,https://acnhcdn.com/latest/ShopPlant/SeedAzaleaPink.png,No,280,70,,,NA,1.2.0,SeedAzaleaPink,3786,R69MFoTNoTFaAFokq,other
pink-camellia bush,https://acnhcdn.com/latest/MenuIcon/PltBushCamelliaPink.png,No,560,140,,,NA,1.2.0,PltBushCamelliaPink2,12492,tKaeYZdRmGtTShfmH,other
pink-camellia nursery,https://acnhcdn.com/latest/MenuIcon/PltBushCamelliaPink.png,No,280,70,,,NA,1.2.0,PltBushCamelliaPink0,12756,dCLfqkekaY3tAFmvc,other
pink-camellia start,https://acnhcdn.com/latest/ShopPlant/SeedBushCamelliaPink.png,No,280,70,,,NA,1.2.0,SeedBushCamelliaPink,12490,nWKkXpxtQqLCtmPEG,other
